title,module,labels,due_date,estimate_hours,slot,description
"Crear VPC, IGW y subredes publicas","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega,bloqueante","2026-05-07","5","A","Crear VPC dedicada, Internet Gateway, dos subredes publicas AZ-A/AZ-B y tabla de rutas documentada."
"Desplegar EC2-1 con MySQL","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega,bloqueante","2026-05-07","5","B","Lanzar EC2-1 Ubuntu, asociar Elastic IP, instalar MySQL, configurar acceso y Security Group 3306/22 restringido."
"Modelo relacional inicial","BD","mod:BD,tipo:bd,bloqueante","2026-05-07","5","C","Transformar E/R en modelo relacional, normalizar y preparar tablas con claves primarias y foraneas."
"CRUD inventario: entidad y DAO","PROG","mod:PROG,tipo:java,bloqueante","2026-05-07","5","D","Crear clase Material, DAO de inventario y operaciones listar, buscar, insertar, actualizar y baja logica o borrado controlado."
"Web: listado de material por ubicacion","LMSGI","mod:LMSGI,tipo:web","2026-05-07","5","E","Crear pagina o seccion con material agrupado por armario, balda y cajon, preparada para enlazar desde Java."
"Desplegar EC2-2 e iniciar Apache/Nginx","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega,bloqueante","2026-05-08","5","A","Lanzar EC2-2 en AZ-B, asociar Elastic IP, configurar SG con 80 abierto y 22 restringido, instalar servidor web."
"Configurar SFTP en EC2-2","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-08","5","B","Configurar OpenSSH/SFTP, usuario de despliegue, permisos de carpeta web y prueba de subida/bajada."
"Pantalla inicial Java y conexion BD","PROG","mod:PROG,tipo:java,prio:alta,tipo:entrega,bloqueante","2026-05-08","5","C","Mostrar pantalla inicial, probar conexion real con MySQL de EC2-1 y registrar resultado en README o guia."
"Diagrama de red AWS","SI","mod:SI,tipo:documentacion,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-08","5","D","Crear diagrama de arquitectura AWS con VPC, subredes, EC2, Elastic IP, puertos y reglas de seguridad."
"Mapa profesional del equipo","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-08","5","E","Identificar roles profesionales, competencias, zona de desarrollo proximo y evidencias iniciales del equipo."
"Script SQL de creacion y datos de prueba","BD","mod:BD,tipo:bd,prio:alta,tipo:entrega,bloqueante","2026-05-11","5","A","Crear script SQL completo con tablas, claves, restricciones y datos ficticios suficientes para probar la aplicacion."
"Modelo relacional final documentado","BD","mod:BD,tipo:bd,tipo:documentacion,prio:alta,tipo:entrega","2026-05-11","5","B","Exportar diagrama relacional e incluir explicacion breve y enlace al script SQL en README."
"CRUD inventario en interfaz Swing","PROG","mod:PROG,tipo:java,bloqueante","2026-05-11","5","C","Crear vista de inventario con tabla, alta, modificacion, baja, validaciones y mensajes para Administrador."
"Documentar EC2-2 en Guia","SI","mod:SI,tipo:documentacion,tipo:infraestructura","2026-05-11","5","D","Redactar pasos de EC2-2: instalacion web, SFTP, SG, SSH, rutas y capturas."
"Validar HTML/CSS inicial","LMSGI","mod:LMSGI,tipo:web","2026-05-11","5","E","Pasar validadores HTML/CSS, corregir errores y documentar compatibilidad basica."
"Consulta y filtros de inventario","PROG","mod:PROG,tipo:java","2026-05-12","5","A","Implementar busqueda y filtros por categoria, estado y ubicacion para Administrador y Profesor."
"Perfil profesional inicial","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-12","5","B","Cada estudiante redacta intereses, motivaciones, habilidades y areas de mejora vinculadas al reto."
"Pruebas conexion Java-MySQL EC2","PROG","mod:PROG,tipo:java,tipo:infraestructura","2026-05-12","5","C","Probar CRUD contra EC2-1, documentar errores, capturas y configuracion necesaria."
"Actualizar Guia con EC2-1","SI","mod:SI,tipo:documentacion,tipo:infraestructura","2026-05-12","5","D","Documentar MySQL, usuarios, contrasenas, carga de BD, IP, puertos, conexion desde Java y justificacion."
"Preparar README inicial","ED","mod:ED,tipo:documentacion","2026-05-12","5","E","Crear indice, descripcion del reto, miembros, tecnologias, enlaces a diagramas y estado inicial."
"Finalizar EC2-2 y verificar HTTP/SSH/SFTP","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-13","5","A","Comprobar HTTP puerto 80, SSH y SFTP desde el IES, guardar evidencias e incidencias."
"Entrega diagrama de casos de uso","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-13","5","B","Crear diagrama de casos de uso con Administrador y Profesor cubriendo inventario, prestamos, localizacion e informes."
"README con diagramas obligatorios","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-13","5","C","Actualizar README con E/R, clases, casos de uso, participantes e indice."
"Modulo de localizacion Java-Web","PROG","mod:PROG,tipo:java,tipo:web","2026-05-13","5","D","Mostrar ubicacion exacta de un material y abrir la web del taller desde la aplicacion."
"Publicar web en EC2-2","LMSGI","mod:LMSGI,tipo:web,tipo:infraestructura","2026-05-13","5","E","Subir HTML/CSS al servidor web, verificar URL publica y enlazar desde README/aplicacion."
"Pruebas servidor web y SFTP","SI","mod:SI,tipo:infraestructura","2026-05-14","5","A","Probar acceso web, subida/bajada por SFTP y SSH, registrando evidencias para la guia."
"Modulo prestamos y devoluciones","PROG","mod:PROG,tipo:java,bloqueante","2026-05-14","5","B","Implementar registro de prestamos/devoluciones, cambio de estado y validaciones."
"Revisar JavaDoc inicial","ED","mod:ED,tipo:documentacion","2026-05-14","5","C","Anadir JavaDoc a clases principales y revisar que paquetes, metodos y parametros clave esten documentados."
"Mejoras responsive y navegadores","LMSGI","mod:LMSGI,tipo:web","2026-05-14","5","D","Probar sitio en varios navegadores/dispositivos, corregir layout y documentar resultados."
"Preparar demostracion de avance","IPEI","mod:IPEI,tipo:documentacion","2026-05-14","5","E","Preparar guion breve de estado del equipo, reparto de trabajo, problemas y evidencias GitHub."
"Plantilla Manual de usuario","SI","mod:SI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-15","5","A","Crear Manual-usuario-EquipoX en Word con portada, indice y estructura obligatoria."
"Requisitos HW/SW en manual","SI","mod:SI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-15","5","B","Documentar JRE, SO, CPU, RAM, disco, resolucion y conectividad necesaria para usar la aplicacion."
"Informes Java obligatorios","PROG","mod:PROG,tipo:java,prio:alta,tipo:entrega","2026-05-15","5","C","Generar listado completo, informe por categoria/estado e informe por armario/balda en formato texto."
"Competencias personales y sociales","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-15","5","D","Redactar competencias puestas en practica con evidencias reales del trabajo en GitHub y equipo."
"Documentar sitio web en README","LMSGI","mod:LMSGI,tipo:web,tipo:documentacion","2026-05-15","5","E","Explicar estructura HTML, CSS usado, contenido, capturas, pruebas y enlace al sitio publicado."
"Comparar licencias y elegir una","SI","mod:SI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-18","5","A","Comparar MIT, GPL v3 y Apache 2.0, justificar eleccion e incluirlo en el manual de usuario."
"Anadir archivo LICENSE","SI","mod:SI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-18","5","B","Crear LICENSE en el repositorio conforme a la licencia elegida y enlazarlo desde README/manual."
"Importacion y exportacion CSV/Excel","PROG","mod:PROG,tipo:java","2026-05-18","5","C","Implementar carga y exportacion de inventario en CSV o Excel con validaciones y mensajes."
"Pruebas finales de servidores","SI","mod:SI,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-18","5","D","Ejecutar checklist de MySQL, web, SSH, SFTP, Security Groups y documentar resultado."
"Iniciar manual con capturas Java","PROG","mod:PROG,tipo:documentacion,tipo:java","2026-05-18","5","E","Capturar pantallas principales y redactar guia de uso por perfil Administrador y Profesor."
"Guia de despliegue definitiva","SI","mod:SI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-19","5","A","Cerrar guia con portada, indice, arquitectura, EC2-1, EC2-2, SSH/SFTP, capturas, webgrafia y PDF."
"README actualizado completo","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-19","5","B","Actualizar README con resultados, tecnologias, enlaces a guia/manual, diagramas, valoracion y webgrafia."
"Java basico finalizado","PROG","mod:PROG,tipo:java,prio:alta,tipo:entrega","2026-05-19","5","C","Dejar cerradas las funcionalidades basicas: login, roles, inventario, localizacion, prestamos, informes y CSV/Excel."
"Correcciones y mejoras Java","PROG","mod:PROG,tipo:java","2026-05-19","5","D","Corregir fallos detectados, mejorar validaciones y revisar mensajes de error/exito."
"Preparacion presentacion final","IPEI","mod:IPEI,tipo:documentacion","2026-05-19","5","E","Crear estructura de presentacion: organizacion, tecnologias, demo, valoracion, aportaciones individuales."
"Script de triggers BD","BD","mod:BD,tipo:bd,prio:alta,tipo:entrega","2026-05-20","5","A","Implementar al menos un trigger relevante: historico de cambios, control de stock o movimientos de material."
"Pruebas triggers y datos","BD","mod:BD,tipo:bd","2026-05-20","5","B","Probar triggers con inserts/updates, documentar consultas de verificacion y posibles limitaciones."
"Manual de usuario final","PROG","mod:PROG,tipo:documentacion,prio:alta,tipo:entrega","2026-05-20","5","C","Cerrar manual con capturas, validaciones, mensajes, informes, perfiles y exportar a PDF."
"Web y CSS finales documentados","LMSGI","mod:LMSGI,tipo:web,tipo:documentacion,prio:alta,tipo:entrega","2026-05-20","5","D","Finalizar web, validar HTML/CSS, capturas, documentacion y enlace desde README."
"Entorno personal de aprendizaje","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-20","5","E","Cada estudiante documenta herramientas, fuentes, conexiones y actividades usadas para aprender durante el reto."
"Documentacion AWS completa con IDs","SI","mod:SI,tipo:documentacion,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-21","5","A","Anadir IDs EC2, Elastic IPs, Security Groups, VPC, subredes, capturas y justificacion final en la guia."
"Pruebas finales integradas","PROG","mod:PROG,tipo:java,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-21","5","B","Probar flujo completo: login, CRUD, prestamos, informes, CSV/Excel, localizacion web y conexion a MySQL EC2."
"Matriz de riesgos laborales IPEI","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-21","5","C","Crear matriz de riesgos laborales y medidas preventivas vinculadas al trabajo tecnico del reto."
"Revision formal de documentos PDF","ED","mod:ED,tipo:documentacion,prio:alta","2026-05-21","5","D","Revisar ortografia, estilos, indices, pies de pagina, enlaces, imagenes y consistencia de Guia y Manual."
"Ensayo tecnico de demo final","IPEI","mod:IPEI,tipo:documentacion,prio:alta","2026-05-21","5","E","Ensayar demo, repartir tiempos, preparar respuestas y revisar evidencias individuales."
"Checklist final de repositorio","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-22","5","A","Comprobar README, Wiki, Project, issues diarios, commits, diagramas, SQL, Java, web, guia, manual y presentacion."
"Presentacion final del equipo","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-22","5","B","Exponer organizacion, tecnologias, demo, valoracion colaborativa, aportaciones individuales y cierre profesional."
"Coevaluaciones y cierre profesional","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-22","5","C","Completar coevaluaciones, reflexion final y evidencias de evolucion profesional."
"Congelar release final","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-22","5","D","Crear version final o tag, revisar artefactos descargables y dejar enlaces finales en README."
"Soporte a preguntas y demo tecnica","PROG","mod:PROG,tipo:java,prio:alta,tipo:entrega","2026-05-22","5","E","Preparar respuestas tecnicas sobre arquitectura, BD, patrones DAO/Singleton, JavaDoc, AWS y decisiones del equipo."
